,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
3722,2022-11-11,2022-11-11 21:04:55.380000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3721,2022-11-11,2022-11-11 21:05:02.041000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3720,2022-11-11,2022-11-11 21:05:19.555000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3719,2022-11-11,2022-11-11 21:05:28.642000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3718,2022-11-11,2022-11-11 21:05:34.719000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3717,2022-11-11,2022-11-11 21:05:40.673000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3716,2022-11-11,2022-11-11 21:05:46.557000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3715,2022-11-11,2022-11-11 21:05:52.493000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3708,2022-11-11,2022-11-11 21:06:26.228000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3707,2022-11-11,2022-11-11 21:06:37.722000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3706,2022-11-11,2022-11-11 21:07:23.352000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3705,2022-11-11,2022-11-11 21:07:30.611000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3704,2022-11-11,2022-11-11 21:07:40.856000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3703,2022-11-11,2022-11-11 21:07:49.049000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
3696,2022-11-11,2022-11-11 21:09:31.426000+05:30,11929,od_706g8STR,-1335.0, Bought 15.00 shares x N (Rs. 89.00 each),Bought,15.0,N,89.0
3571,2022-11-11,2022-11-11 23:00:06.356000+05:30,11929,,1335.0,Closed (Rs. 1335.00 credited),Closed,,,
